TRA_ID,ATA_TEXTO
2298,quería ver si me puede enviar una unidad policial. eh unos amigos de mis sobrinos aquí están borrachos estoy queriendo mandar a la casa y no me hacen caso. en la calle la niña y francisco de orellana. un edificio de ladrillo visto de 3 pisos. andres arevalo. ya muchas gracias
2299,eh mire yo tengo un problema aquí es yo rento un local aquí para comprar aquí cacao en la alfonso andrade y calle maestro y tengo puesto el rotulo de que se vende se compra cacao y pasa un camion y me va rompiendo el rotulo. no no el camion está aquí estan aqui a lado de la mecanica. si no quería mover el carro del frente del local porque decia que el estan en la via publica. si. marcela sanchez. rodolfo acosta. okay muchas gracias
2306,si disculpe usted es la policia. lo que pasa es que en sol del bosque por la entrada a la ciudadela delia a unas dos cuadras a la izquierda hay un poco de tipos que hacen mucho ruido al frente en donde yo vivo y no dejan dormir ya tienen mas de tres horas. no no no es por la fritada de la señora delia. y ahora por donde sera. por por guayas y eloy alfaro. si. si estan tomando y hacen demasiada bulla. patricia zambrano. patricia zambrano. okey muchisimas gracias
2336,alo. alo con la policia. alo alo. alo con la policia. si hagame un favor vera lo que pasa es que aqui hay un señor que esta intentando robarse un vehiculo esta justo en la avenida 12 de octubre y don bosco. perdon. casi en la esquina deben ver por las camaras me imagino. 12 de octubre en plena 12 de octubre. esta con una chompa verde y un pantalon jean. el jean es azul y la chompa es medio verde verde olivo masomenos. yo mery garzon. ya
2353,alo si. alo buenas noches oiga por favor lo que pasa que tenemos una niña perdida aca en la comuni que pertenece al canton deleg en la comunidad de vayandel. hace unas dos horas mas o menos y le estan buscando una hora y media le han visto que una señora le baja amar cargada por el lado del cementario. como esta vestida la chica preguntale a la daniela pregunten a la dani ya ya le digo. a ya dice que de una chompa cafe de unos zapatos morados y con un pantalon jean con un pantalon jean rosado una chompa cafe y unos zapatos rosados morados. morados si. se llama camila pañora. si. año tres meses. eh se llama vayandel pertenece al canton deleg. aja de la provincia del cañar. eh mas o menos pur gulaquin por el barrio. si san jose de vayandel si. si. ligia calle. ya muchas gracias
2359,a lo muy buenas. como esta eh le saluda javier salinas estamos por acá por los totems alo. eh lo que pasa es que necesitamos que nos ayude rastreando un un numero telefonico por que le acaban de sustraer el telefono a una niña. si de transito estamos aquí por los totems. no le entiendo. pero nos puede ayudar. aquí en los totems aquí en el redondel. javier salinas. ya. alo. mande. ya es el 09. a ver el 098696. 80 a ver 09 que  0986966910. no sea malo. si estamos de turno. ya gracias
2361,si buenas tardes. eh puede mandar una ambulancia a san gerardo que un muchacho se ha caido bueno esta medio tomado se ha caido y esta gomitando ahi parece que va a morir. ahi de un pequeño bordecito se ha caido. de unos 17 18 años ah de ser. mande. si si veo que esta sangrando esta gomitando esta botando solo espuma. dice que es de uzhupud nadie le conoce dice que es de uzhupud. ah aquí en san gerardo. en el centro ahi en la capilla es de un pase del niño. mande. es no no es acá de certag para arriba. si de certag. mande. si es un hombre. ahh marta lucero. ya
2373,muy buenos días hágame un favor. quiero hacer una denuncia en este momento le viene a gritar a una señora el sobrino una persona de la tercera edad con intenciones de golpearla como puedo hacer. no yo salí y se largo. no no yo salí a defenderle a la señora y salió. pero es que el señor es sobrino de ella entonces lo que me dice el abogado para que sabemos dónde vive el señor y todo que por qué motivo mi ma ósea la señora la señora le cuida a la otra hermana de ella. le cuida así mismo una persona de la tercera edad entonces y que pasa que el señor ha venido a gritarle a la señora que que que le está cuidando es una señora que no le pueden dejar la puerta abierta por qué se va se pierde entonces la señora le cuida y todo y viene aquí a gritarle ósea y oímos que le grita le dice que el dia lunes le va a mandar presa por que le tiene a la tia escuchamos encerrada que le va a mandar presa por la dinapen entonces la señora está mal es una señora de tercera edad es sufre de la presión la señora esta super mal. pero sabemos dónde vive. es en ricaurte en la y. antonio ricicaurte y la y 7-18. si. entonces la juan pablo segundo pero es más arriba antes de llegar al local de eventos el sky. nancy pesantez. ya gracias
2392,buenas tardes compañera el ecu de cuenca le está llamando. le tengo en la línea al señor wilmer aguilar el número de teléfono es el 0995. 827836 indica que está viajando desde ponce enríquez hacia machala le tengo en la línea por favor al señor aguilar ayúdeme con su número de consola por favor. su número de consola 8015 compañera pero ya colgó lamentablemente el señor mil disculpas. ya estaba siguiéndole a una persona en estado etílico conduciendo en estado etílico. ya listo gracias
2395,buenas noches oiga vea lo que pasa es que yo fui adentro de mi casa y hay muchos fumones mucho ladrones el sábado pasado hubo incluso un vecino que estaba borracho que prendía y apagaba ese foco siempre llamamos y nunca se van a dar ninguna vuelta haber ahorita estoy aquí lastimosamente en un velorio y no puedo estar mucho en mi casa pero están mis niños. vera eh este es por el grandar es estadio granda es dentra por como quien se va se va al rio huaquillas en la primera emacadora. mande. abdala bucarán de ahí de ahí como quien se al rio huaquillas en la primera empacadora. eh alejandra lema. ya pero oiga pero que vea que de ahí hay dos casas que va a la otra so es tercera casa de esos losa ahí se meten los ladrones. ya que ya vale
2420,muy buenas noches eh hay una pelea aquí en chilcapamba si nos puede ayudar mandando algún policía algo. unas cinco personas están ahí. no están alcoholizadas. plena iglesia en plena iglesia. eh wiliam dominguez. gracias
2421,si buenas noches buenas noches mire llamo de aquí de la entrada del camal municipal ya lado del hospital de la mujer y el niño. aurita se viro aquí un carro yo vivo al ladito entonces en dos hace un minuto. se viro un carro por favor hace un minuto. no no los herido no he visto aurita estoy llamando de mi casa veo que el carro está virado ahí estoy llamando por una emergencia. no no el camal municipal en la calle del camal y vía patamarca. ahí está al ladito de la vía patamarca está ya a unos diez metros. manuel pacheco. gracias señorita
2451,hágame un favor estoy en el salado en la don bosco en una cancha sintética un compañero convulsionó. si este momento está convulsionando. don bosco y salado que manden una ambulancia por favor. si es en una cancha sintética. richard loja es mi nombre. richard loja. buenas noches. ha en la loja y salado le envié a su compañero una persona convulsionando le comunico. loja y salado. 23 al 8923. ya gracias
2485,buenas sabe que estoy con un taxista que me viene insultando y metiendo el carro todo el camino no se que le pasa esta medio loco se salio se cruzo un rojo le pite y me viene metiendo el carro insultandome en cada semaforo que paro. esta adelante mio justo el taxista. estoy por las americas justo a la altura ya pase la primero de mayo. ahorita estoy yendo hacia hacia la basilica direccion a la basilica. no estoy por la gasolinera esa que es antes de llegar. aja por aqui estoy justo adelante mio esta el taxista. claro hacia la feria libre. si esta adelante mio es uah 961. 961. no no tiene cooperativa. david becerra. listo hasta luego
2497,apure si está viniendo o no estamos esperando aquí. porque ya ya es hora de llegar de suscal hacen 20 minuto nomas acá pero ya es hora de llegar. alo. mire señorita que me den mandando por favor alguna cosa para los vegetales aquí están quemándose la cable todo está quemando la casa. claro pues que es emergencia que mandamos que no hay ayuda que como es la huevada suscal tanto que le llamo para rogar hermano viene caminando o como es la huevada
2498,buenos días hágame un favor me puede ayudar con la policía de tránsito santa isabel. ee aquí lo que es calle tomebamba. y 3 de noviembre. eee no lo que es que hay un vehiculo mal estacionado y  ee sin placas. es un corsa 2 blanco. blanco. si. ee es esa exacta tomebamba y 3 de noviembre. o eee sector parque central. no o sucre no perdon 3 de noviembre y sucre. ya si parque central. marcia huayasaca. marcia huayasaca. muy amable gracias
2526,si buenas noches disculpe acá al barrio buenos aires el puente la mosqueta. si en el puente de la mosqueta a una cuadrita más acá como quien pasando a san miguel. está un problema acá que paso están unos señores con unos cuchillos aquí y queriendo queriendo lastimarse. de aquí del barrio buenos aires mismo. claro sayausi. ya aquí al puente la mosqueta una cuadrita más allá. gracias
